Transaction_Date,Transaction_Ref,Description,Withdrawal,Deposit,Balance
2024-07-17,1648452,WITHDRAWAL,0.0,300.0,0.0
2024-07-17,2047958,WITHDRAWAL,0.0,2047958.0,0.0
2024-07-18,1692461,WITHDRAWAL,0.0,100.0,0.0
2024-07-18,1804987,WITHDRAWAL,0.0,55.0,0.0
2024-07-19,2018793,DEBIT,100.0,0.0,2523.91
2024-07-20,2035438,WITHDRAWAL,0.0,350.0,0.0
2024-07-20,2170340,WITHDRAWAL,0.0,60.0,0.0
2024-07-22,323714,WITHDRAWAL,0.0,10.0,0.0
2024-07-22,477504,WITHDRAWAL,0.0,420.0,0.0
2024-07-22,681949,WITHDRAWAL,0.0,2000.0,0.0
2024-07-22,838601,WITHDRAWAL,0.0,1080.0,0.0
2024-07-22,859556,WITHDRAWAL,0.0,450.0,0.0
2024-07-22,860425,WITHDRAWAL,0.0,860425.0,2911402167403228.0
2024-07-22,917968,WITHDRAWAL,0.0,100.0,0.0
2024-07-22,1121748,DEPOSIT,0.0,1121748.0,0.0
2024-07-22,1483311,WITHDRAWAL,0.0,1695.0,0.0
2024-07-22,1552199,WITHDRAWAL,0.0,1000.0,0.0
2024-07-22,1574243,WITHDRAWAL,0.0,3315.0,0.0
2024-07-22,1598036,WITHDRAWAL,0.0,299.0,0.0
2024-07-23,777565,WITHDRAWAL,0.0,680.0,0.0
2024-07-23,880668,WITHDRAWAL,0.0,790.0,0.0
2024-07-23,911716,WITHDRAWAL,0.0,600.0,0.0
2024-07-23,918103,WITHDRAWAL,0.0,300.0,0.0
2024-07-23,1020823,WITHDRAWAL,0.0,130.0,0.0
2024-07-24,1047319,DEPOSIT,0.0,1047319.0,0.0
2024-07-24,1657864,WITHDRAWAL,0.0,403.0,0.0
2024-07-25,566284,WITHDRAWAL,0.0,425.0,0.0
2024-07-25,1777708,WITHDRAWAL,0.0,575.0,0.0
2024-07-26,634695,WITHDRAWAL,0.0,200.0,0.0
2024-07-26,1895282,WITHDRAWAL,0.0,660.0,0.0
2024-07-26,2378315,DEPOSIT,0.0,2378315.0,0.0
2024-07-26,2398492,WITHDRAWAL,0.0,2398492.0,0.0
2024-07-26,2434117,WITHDRAWAL,0.0,2434117.0,0.0
2024-07-26,2436219,WITHDRAWAL,0.0,3400.0,0.0
2024-07-27,910698,WITHDRAWAL,0.0,800.0,0.0
2024-07-27,924461,WITHDRAWAL,0.0,785.0,0.0
2024-07-28,710711,WITHDRAWAL,0.0,799.0,0.0
2024-07-28,1353384,WITHDRAWAL,0.0,400.0,0.0
2024-07-28,1355666,WITHDRAWAL,0.0,20.0,0.0
